timestamp,strike,type,price,strategy_id,status,mode2025-07-22T12:22:09.929913,SENSEX_CALL_17000,BUY,101.0,DummySENSEXStrategy,PAPER_PLACED,paper
2025-07-22T12:22:39.936697,SENSEX_CALL_17000,BUY,101.0,DummySENSEXStrategy,PAPER_PLACED,paper
2025-07-22T12:23:09.939386,SENSEX_CALL_17000,BUY,101.0,DummySENSEXStrategy,PAPER_PLACED,paper
2025-07-31T11:42:53.778523,SENSEX_81300_CE,BUY_CALL,81130.1,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:43:04.318953,SENSEX_81400_CE,BUY_CALL,81154.51,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:43:09.620646,SENSEX_80700_PE,BUY_PUT,80885.31,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:43:20.202103,SENSEX_81200_CE,BUY_CALL,80969.17,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:43:25.494001,SENSEX_81400_CE,BUY_CALL,81160.58,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:43:30.739053,SENSEX_80600_PE,BUY_PUT,80809.32,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:43:35.945369,SENSEX_81300_CE,BUY_CALL,81099.57,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:43:46.445034,SENSEX_80800_PE,BUY_PUT,80975.67,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:43:51.723990,SENSEX_80700_PE,BUY_PUT,80869.56,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:44:02.250633,SENSEX_81300_CE,BUY_CALL,81131.87,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:44:23.053112,SENSEX_80600_PE,BUY_PUT,80817.22,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:44:33.434064,SENSEX_81300_CE,BUY_CALL,81113.16,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:44:38.608328,SENSEX_80800_PE,BUY_PUT,80974.38,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:44:43.812832,SENSEX_80700_PE,BUY_PUT,80859.03,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:44:48.932460,SENSEX_81300_CE,BUY_CALL,81080.8,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:44:54.011895,SENSEX_80700_PE,BUY_PUT,80868.89,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:45:10.421364,SENSEX_81300_CE,BUY_CALL,81088.36,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:45:20.960846,SENSEX_80700_PE,BUY_PUT,80944.19,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:45:26.181478,SENSEX_81300_CE,BUY_CALL,81073.39,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:45:31.460227,SENSEX_80800_PE,BUY_PUT,80954.8,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:45:36.741681,SENSEX_81400_CE,BUY_CALL,81199.48,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:45:42.040241,SENSEX_80800_PE,BUY_PUT,80984.52,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:45:47.246218,SENSEX_81300_CE,BUY_CALL,81078.87,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:45:52.480993,SENSEX_80600_PE,BUY_PUT,80811.19,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:45:57.645606,SENSEX_81300_CE,BUY_CALL,81088.4,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:46:07.884679,SENSEX_80700_PE,BUY_PUT,80853.58,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:46:18.108483,SENSEX_81200_CE,BUY_CALL,81019.0,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:46:23.256938,SENSEX_80700_PE,BUY_PUT,80916.66,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:46:33.857060,SENSEX_80600_PE,BUY_PUT,80830.39,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:46:39.192645,SENSEX_81300_CE,BUY_CALL,81128.66,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:46:45.410144,SENSEX_80700_PE,BUY_PUT,80944.2,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:46:50.597994,SENSEX_80600_PE,BUY_PUT,80831.34,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:46:55.760154,SENSEX_81300_CE,BUY_CALL,81116.15,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:47:05.980988,SENSEX_80600_PE,BUY_PUT,80840.29,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:47:16.707263,SENSEX_81300_CE,BUY_CALL,81101.63,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:47:26.915486,SENSEX_81400_CE,BUY_CALL,81179.36,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:47:37.437355,SENSEX_80800_PE,BUY_PUT,80985.22,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:47:42.540909,SENSEX_80700_PE,BUY_PUT,80866.37,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:47:57.961521,SENSEX_81400_CE,BUY_CALL,81182.5,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:48:08.317535,SENSEX_80600_PE,BUY_PUT,80829.24,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:48:13.588424,SENSEX_81200_CE,BUY_CALL,81043.21,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:48:18.812439,SENSEX_80600_PE,BUY_PUT,80804.51,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:48:24.113183,SENSEX_81100_CE,BUY_CALL,80902.98,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:48:34.595764,SENSEX_81300_CE,BUY_CALL,81051.96,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:48:45.013983,SENSEX_80700_PE,BUY_PUT,80921.52,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:49:00.597110,SENSEX_81300_CE,BUY_CALL,81092.74,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:49:10.802043,SENSEX_80700_PE,BUY_PUT,80890.9,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:49:15.892119,SENSEX_81300_CE,BUY_CALL,81141.6,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:49:20.972479,SENSEX_80700_PE,BUY_PUT,80907.92,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:49:26.267556,SENSEX_81200_CE,BUY_CALL,81049.42,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:49:31.479128,SENSEX_80700_PE,BUY_PUT,80900.99,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:49:41.939417,SENSEX_81400_CE,BUY_CALL,81196.01,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:49:58.732573,SENSEX_80800_PE,BUY_PUT,80990.98,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:50:04.030182,SENSEX_80700_PE,BUY_PUT,80881.06,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:50:09.294983,SENSEX_81300_CE,BUY_CALL,81116.45,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:50:14.509978,SENSEX_80700_PE,BUY_PUT,80897.27,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:50:19.673243,SENSEX_81300_CE,BUY_CALL,81099.04,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:50:24.849516,SENSEX_80700_PE,BUY_PUT,80896.25,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:51:01.660328,SENSEX_81300_CE,BUY_CALL,81055.91,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:51:11.931564,SENSEX_81300_CE,BUY_CALL,81094.39,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:51:17.199221,SENSEX_80700_PE,BUY_PUT,80862.52,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:51:22.463286,SENSEX_81300_CE,BUY_CALL,81135.91,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:51:38.156115,SENSEX_80800_PE,BUY_PUT,81007.22,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:51:43.338141,SENSEX_80700_PE,BUY_PUT,80912.28,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:51:48.488669,SENSEX_81300_CE,BUY_CALL,81075.01,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:51:53.588287,SENSEX_80800_PE,BUY_PUT,80989.06,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:52:03.803280,SENSEX_81300_CE,BUY_CALL,81105.03,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:52:14.011264,SENSEX_80600_PE,BUY_PUT,80814.14,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
2025-07-31T11:52:19.308566,SENSEX_81200_CE,BUY_CALL,80992.09,RealSENSEXStrategy,LIVE_ERROR,live,Error: 'BreezeConnector' object has no attribute 'place_order'
